PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Jayson Tatum,BOS,25,74,52,22,2732.2,2225,727,1559,240,686,531,622,78,571,649,342,213,78,51,470
Luka Doncic,DAL,24,66,33,33,2390.5,2138,719,1449,185,541,515,694,54,515,569,529,236,90,33,128
Shai Gilgeous-Alexander,OKC,24,68,33,35,2416,2135,704,1381,58,168,669,739,59,270,329,371,192,112,65,149
Anthony Edwards,MIN,21,79,40,39,2841.5,1946,707,1541,213,578,319,422,47,411,458,350,259,125,58,97
Donovan Mitchell,CLE,26,68,44,24,2432.4,1922,679,1402,245,635,319,368,63,226,289,301,180,99,27,338
Trae Young,ATL,24,73,38,35,2540.7,1914,597,1390,154,460,566,639,56,161,217,741,300,80,9,100
Zach LaVine,CHI,28,77,38,39,2767.9,1913,673,1388,204,544,363,428,42,303,345,327,194,69,18,18
Damian Lillard,POR,32,58,27,31,2106.6,1866,556,1202,244,658,510,558,44,233,277,425,191,50,18,105
De'Aaron Fox,SAC,25,73,44,29,2435.2,1826,682,1331,119,367,343,440,40,266,306,447,181,83,23,176
DeMar DeRozan,CHI,33,74,37,37,2681.6,1816,657,1303,46,142,456,523,34,309,343,377,153,83,36,67
Jaylen Brown,BOS,26,67,46,21,2404.9,1784,679,1383,163,487,263,344,78,381,459,232,197,75,26,256
Jalen Green,HOU,21,76,20,56,2602.2,1683,566,1359,187,554,364,463,43,241,284,281,200,59,18,-447
Jordan Poole,GSW,24,82,44,38,2458.1,1675,550,1278,214,637,361,415,32,193,225,369,252,63,21,-11
Stephen Curry,GSW,35,56,30,26,1941.2,1648,559,1133,273,639,257,281,39,302,341,352,179,52,20,268
Jalen Brunson,NYK,26,68,40,28,2378.7,1633,587,1195,134,322,325,392,40,201,241,421,142,61,15,152
Kyrie Irving,DAL,31,60,32,28,2240.6,1623,594,1203,188,496,247,273,59,245,304,331,128,66,45,222
Ja Morant,MEM,23,61,40,21,1948.3,1596,566,1214,92,300,372,497,61,296,357,493,206,66,16,302
CJ McCollum,NOP,31,75,38,37,2649.2,1568,587,1344,211,543,183,238,55,273,328,429,183,70,38,59
Dejounte Murray,ATL,26,74,38,36,2693.4,1515,612,1319,133,387,158,190,53,336,389,448,160,112,19,-62
Klay Thompson,GSW,33,69,38,31,2278.9,1509,546,1252,301,731,116,132,39,247,286,163,123,49,29,163
Darius Garland,CLE,23,69,40,29,2447.2,1490,522,1129,169,412,277,321,28,157,185,538,199,85,9,438
Devin Booker,PHX,26,53,34,19,1835.4,1471,527,1067,111,316,306,358,46,194,240,293,145,51,18,247
RJ Barrett,NYK,23,73,40,33,2475.5,1431,510,1176,121,390,290,392,60,308,368,201,164,31,15,-62
Keldon Johnson,SAS,23,63,17,46,2063.3,1385,503,1113,134,407,245,327,56,262,318,183,134,46,11,-491
Spencer Dinwiddie,BKN,30,79,41,38,2725.3,1369,460,1050,181,490,268,330,28,242,270,515,145,67,24,-8
Tyler Herro,MIA,23,67,37,30,2335.4,1347,487,1109,203,537,170,182,27,333,360,280,158,51,16,170
Buddy Hield,IND,30,80,35,45,2481.9,1344,475,1038,288,677,106,129,67,333,400,225,139,92,26,-84
Fred VanVleet,TOR,29,69,34,35,2535,1335,437,1112,207,606,254,283,30,250,280,495,140,123,38,195
Terry Rozier,CHA,29,63,19,44,2220.9,1329,493,1188,165,505,178,220,51,208,259,319,134,74,16,-288
Anfernee Simons,POR,24,62,27,35,2170.7,1306,467,1045,212,562,160,179,18,143,161,253,128,42,14,-75
Bennedict Mathurin,IND,21,78,33,45,2222.4,1302,413,951,100,310,376,454,87,231,318,116,152,48,13,-179
Jamal Murray,DEN,26,65,43,22,2133.4,1298,473,1041,172,432,180,216,48,209,257,400,145,66,16,300
Jrue Holiday,MIL,33,67,50,17,2182.5,1290,490,1023,158,411,152,177,79,262,341,495,197,79,25,481
Jordan Clarkson,UTA,31,61,30,31,1988.3,1271,458,1031,155,459,200,245,72,174,246,270,186,33,13,35
D'Angelo Russell,LAL,27,71,39,32,2304.1,1263,445,948,194,490,179,216,35,180,215,437,186,70,29,85
Josh Giddey,OKC,20,76,34,42,2367.3,1260,539,1118,76,234,106,145,148,451,599,469,211,57,31,-105
Desmond Bane,MEM,25,58,38,20,1841.5,1247,450,939,166,407,181,205,43,248,291,254,126,56,22,356
Tyrese Maxey,PHI,22,60,39,21,2015.8,1218,439,913,160,369,180,213,23,153,176,212,80,49,8,241
James Harden,PHI,33,58,39,19,2135,1216,371,842,161,418,313,361,40,314,354,618,195,71,31,277
Immanuel Quickley,NYK,24,81,47,34,2344.1,1209,419,936,168,454,203,248,58,279,337,279,100,80,14,318
Jaden Ivey,DET,21,74,16,58,2304.3,1204,409,983,120,350,266,356,73,215,288,387,237,61,17,-642
Bradley Beal,WAS,30,50,24,26,1672.9,1160,444,878,80,219,192,228,41,155,196,271,145,45,33,42
Tyrese Haliburton,IND,23,56,28,28,1882.9,1160,412,841,161,402,175,201,33,172,205,585,141,91,25,-35
Russell Westbrook,LAC,34,73,36,37,2125.8,1159,432,991,89,286,206,314,89,334,423,551,255,76,33,-21
Gary Trent Jr.,TOR,24,66,31,35,2118,1148,405,935,166,450,172,205,30,143,173,106,55,104,14,-52
Kevin Huerter,SAC,24,75,44,31,2202.8,1140,420,866,205,510,95,131,42,209,251,221,97,80,24,222
Kevin Porter Jr.,HOU,23,59,18,41,2023.9,1130,391,884,141,385,207,264,76,238,314,338,188,82,17,-343
Jalen Williams,OKC,22,75,36,39,2275.6,1056,414,794,73,205,155,191,84,253,337,248,123,103,35,-53
Dillon Brooks,MEM,27,73,46,27,2214.3,1047,392,991,143,439,120,154,45,199,244,189,104,65,16,205
Malik Monk,SAC,25,77,47,30,1719.2,1041,357,796,143,398,184,207,32,171,203,298,146,49,20,68
De'Andre Hunter,ATL,25,67,35,32,2125.6,1029,379,822,100,286,171,207,46,238,284,94,82,35,17,-18
Malik Beasley,LAL,26,81,45,36,2093.1,1025,370,937,235,658,50,65,35,248,283,124,90,65,9,-87
Norman Powell,LAC,30,60,31,29,1567.1,1019,340,710,114,287,225,277,24,151,175,109,101,50,18,-124
Tim Hardaway Jr.,DAL,31,71,37,34,2152.2,1019,340,847,212,550,127,165,21,230,251,129,60,49,12,160
Derrick White,BOS,28,82,57,25,2319.3,1017,350,758,149,391,168,192,52,241,293,321,95,54,76,488
Luguentz Dort,OKC,24,74,36,38,2272.4,1013,339,873,135,409,200,259,128,216,344,154,92,75,23,34
Malcolm Brogdon,BOS,30,67,46,21,1743.8,1000,354,732,132,297,160,184,42,238,280,248,98,45,18,182
Kelly Oubre Jr.,CHA,27,48,16,32,1547.5,972,353,819,108,339,158,208,65,184,249,54,64,68,18,-278
Bruce Brown,DEN,26,80,53,27,2279.5,923,358,741,91,254,116,153,63,265,328,268,123,87,51,31
Max Strus,MIA,27,80,42,38,2272,923,324,790,197,563,78,89,49,209,258,171,69,42,12,-145
Caris LeVert,CLE,28,74,45,29,2237.3,897,320,742,127,324,130,180,53,229,282,287,116,72,24,194
Tre Jones,SAS,23,68,20,48,1983.7,875,341,743,45,158,148,172,56,189,245,448,110,89,9,-325
Eric Gordon,LAC,34,69,25,44,1965.5,856,291,653,132,356,142,173,16,118,134,183,104,43,25,-210
LaMelo Ball,CHA,21,36,13,23,1267.8,838,296,721,144,383,102,121,42,189,231,304,129,46,11,-150
Markelle Fultz,ORL,25,60,29,31,1777.9,837,349,679,27,87,112,143,69,165,234,341,139,87,26,-130
Austin Reaves,LAL,25,64,35,29,1843.2,833,259,490,86,216,229,265,33,160,193,215,99,33,19,214
Dennis Schroder,LAL,29,66,37,29,1985.9,830,270,650,74,225,216,252,21,144,165,298,112,50,10,125
Kentavious Caldwell-Pope,DEN,30,76,51,25,2381.2,822,292,632,135,319,103,125,35,173,208,183,86,112,35,493
Tyus Jones,MEM,27,80,51,29,1939.4,822,311,710,121,326,79,98,28,172,200,417,74,83,6,95
Chris Paul,PHX,38,59,33,26,1888.6,819,294,668,98,261,133,160,27,224,251,524,114,91,22,84
Quentin Grimes,NYK,23,71,41,30,2120.9,799,282,602,157,407,78,98,49,180,229,150,69,47,26,186
Mike Conley,MIN,35,67,34,33,2028.1,798,261,610,135,351,141,169,33,149,182,450,103,73,14,60
Shaedon Sharpe,POR,20,80,32,48,1778.6,789,306,648,102,283,75,105,63,173,236,94,83,38,24,-297
Killian Hayes,DET,21,76,16,60,2153.6,786,307,815,80,286,92,112,28,193,221,470,173,104,28,-500
Cole Anthony,ORL,23,60,28,32,1551.8,781,277,610,75,206,152,170,47,241,288,235,91,37,31,-26
De'Anthony Melton,PHI,25,77,50,27,2149.8,780,277,651,157,403,69,87,69,243,312,197,102,126,41,102
Bogdan Bogdanovic,ATL,30,54,27,27,1508.6,756,273,611,146,360,64,77,23,142,165,150,65,43,18,64
Grayson Allen,MIL,27,72,53,19,1972.1,750,245,557,146,366,114,126,61,176,237,163,72,62,14,227
Josh Hart,NYK,28,76,42,34,2454,743,275,520,61,164,132,176,142,451,593,290,117,88,21,315
Aaron Nesmith,IND,23,73,30,43,1816.4,738,252,590,115,314,119,142,62,215,277,98,75,55,34,-211
Coby White,CHI,23,74,37,37,1730.2,715,263,594,128,344,61,70,16,196,212,204,74,54,6,143
Terance Mann,LAC,26,81,44,37,1872.2,713,272,524,77,198,92,118,77,199,276,184,80,42,22,2
Andrew Nembhard,IND,23,75,32,43,2073.5,709,284,644,92,263,49,62,35,164,199,341,126,70,13,-263
Mikal Bridges,BKN,26,27,12,15,923,706,239,503,68,181,160,179,23,98,121,72,49,26,16,-7
Jaylen Nowell,MIN,23,65,34,31,1251.7,704,280,625,67,232,77,99,36,134,170,132,65,42,5,-8
Devin Vassell,SAS,22,38,12,26,1178.1,703,261,595,103,266,78,100,8,140,148,136,57,43,17,-295
Marcus Smart,BOS,29,61,43,18,1956.8,703,250,602,115,342,88,118,46,145,191,382,143,93,23,240
Talen Horton-Tucker,UTA,22,65,30,35,1313.2,698,257,613,58,203,126,168,41,169,210,246,126,41,29,-8
Reggie Jackson,DEN,33,68,36,32,1656.9,693,263,640,96,288,71,78,25,119,144,233,115,47,6,-79
Isaiah Joe,OKC,23,73,36,37,1395.3,691,224,508,161,394,82,100,27,148,175,88,39,48,8,213
Ayo Dosunmu,CHI,23,80,40,40,2097.6,687,281,570,59,189,66,82,45,175,220,206,99,62,26,-77
Collin Sexton,UTA,24,48,24,24,1145.2,685,237,468,48,122,163,199,37,68,105,138,85,27,6,-28
Donte DiVincenzo,GSW,26,72,42,30,1894.4,678,235,540,150,378,58,71,80,245,325,252,112,97,10,124
Bones Hyland,LAC,22,56,36,20,1085.5,659,228,571,117,315,86,102,20,115,135,172,82,39,15,-129
Josh Richardson,NOP,29,65,24,41,1529.6,654,239,554,107,293,69,81,41,134,175,174,86,69,20,-161
Lonnie Walker IV,LAL,24,56,27,29,1297,654,236,527,91,249,91,106,14,95,109,64,46,30,17,-207
Alec Burks,DET,31,51,12,39,1122.4,652,200,459,99,239,153,188,19,139,158,114,58,38,8,-7
Jevon Carter,MIL,27,81,57,24,1811.8,651,239,565,142,337,31,38,35,167,202,197,78,66,29,63
T.J. McConnell,IND,31,75,31,44,1526.4,650,283,521,26,59,58,68,45,189,234,397,143,81,10,-62
Kyle Anderson,MIN,29,69,36,33,1956.6,647,252,495,43,105,100,136,66,302,368,335,103,78,63,91
Gabe Vincent,MIA,27,68,37,31,1758.7,641,228,567,117,350,68,78,27,118,145,167,92,62,5,-28
Shake Milton,PHI,26,76,52,24,1567.4,637,241,503,56,148,99,116,39,152,191,240,94,25,13,144
Monte Morris,WAS,28,62,28,34,1696.1,636,247,515,78,204,64,77,26,184,210,326,60,43,13,6
Kyle Lowry,MIA,37,55,30,25,1717.7,615,196,485,107,310,116,135,43,182,225,281,103,57,21,55
Cam Thomas,BKN,21,57,30,27,947.6,604,201,456,51,133,151,174,8,87,95,78,63,20,7,-4
Damion Lee,PHX,30,74,40,34,1506.3,604,200,452,110,247,94,104,39,186,225,99,78,30,7,79
Joe Harris,BKN,31,74,40,34,1527.2,562,201,440,142,333,18,28,23,141,164,101,41,34,13,-24
Reggie Bullock,DAL,32,78,37,41,2364.5,561,192,470,151,397,26,37,32,251,283,108,36,54,13,-87
Seth Curry,BKN,32,61,37,24,1210.7,561,208,449,94,232,51,55,13,87,100,99,51,36,7,-69
Jose Alvarado,NOP,25,61,30,31,1310,550,201,489,83,247,65,80,28,113,141,186,81,67,10,103
Josh Green,DAL,22,60,27,33,1539.2,546,205,382,68,169,68,94,55,127,182,103,72,42,5,77
Luke Kennard,MEM,27,59,37,22,1315.1,546,188,382,133,269,37,39,15,143,158,91,46,32,5,211
Troy Brown Jr.,LAL,23,76,40,36,1859.8,541,200,465,107,281,34,39,62,246,308,95,49,59,16,-15
Devonte' Graham,SAS,28,73,31,42,1338.4,539,161,431,119,338,98,131,19,103,122,196,53,45,16,-159
Josh Okogie,PHX,24,72,38,34,1350.6,529,162,414,66,197,139,192,109,142,251,105,63,56,34,106
Jalen Suggs,ORL,22,53,20,33,1245.9,524,186,444,66,202,86,119,55,106,161,155,94,67,27,-40
Hamidou Diallo,DET,24,56,12,44,995.9,522,215,375,5,21,87,148,57,137,194,55,71,53,16,-16
Terrence Ross,PHX,32,63,27,36,1330.5,522,200,465,95,258,27,34,22,132,154,95,43,35,10,-76
Tre Mann,OKC,22,67,31,36,1183.4,517,197,501,81,257,42,55,27,128,155,120,62,40,11,57
Kendrick Nunn,WAS,27,70,30,40,963.4,496,191,450,79,223,35,41,15,94,109,90,66,28,7,-54
Cameron Payne,PHX,28,48,27,21,968.3,493,188,453,68,185,49,64,12,94,106,214,81,33,8,77
Isaac Okoro,CLE,22,76,48,28,1652.6,490,175,354,62,171,78,103,52,135,187,87,42,56,30,126
Aaron Wiggins,OKC,24,70,37,33,1297.4,479,186,363,48,122,59,71,68,143,211,80,56,39,15,9
Nicolas Batum,LAC,34,78,44,34,1709.6,478,160,381,124,317,34,48,62,237,299,121,50,54,44,165
